Teff,logg,FeH,Mbol,BC_U,BC_B,BC_V,BC_R,BC_I,BC_J,BC_H,BC_Ks,BC_u,BC_g,BC_r,BC_i,BC_z,BC_G,BC_BP,BC_RP
5474.46, 3.50,-3.0, 4.974,-0.63520,-0.78550,-0.21190, 0.17500, 0.57030, 1.11900, 1.46290, 1.56310,-1.48740,-0.47210,-0.03680, 0.14080, 0.22000,-0.02700,-0.37560, 0.50640
5490.94, 3.50,-4.0, 4.960,-0.60100,-0.78120,-0.21870, 0.16520, 0.56060, 1.10820, 1.45220, 1.55150,-1.45300,-0.47410,-0.04640, 0.13060, 0.21050,-0.03450,-0.37960, 0.49650
5509.78, 4.00, 0.0, 4.946,-1.02250,-0.81670,-0.13570, 0.27720, 0.64210, 1.17320, 1.49830, 1.59590,-1.87210,-0.44260, 0.07070, 0.22330, 0.27800, 0.04630,-0.32270, 0.58500
5542.42, 4.00, 0.5, 4.920,-1.21110,-0.83140,-0.11970, 0.31630, 0.67320, 1.18930, 1.48680, 1.59160,-2.07400,-0.44380, 0.10990, 0.25810, 0.30310, 0.07120,-0.31040, 0.61820
5513.71, 4.00,-0.5, 4.943,-0.85020,-0.78790,-0.14990, 0.24220, 0.61180, 1.14860, 1.48830, 1.57990,-1.69360,-0.43210, 0.03570, 0.19130, 0.25090, 0.02550,-0.32850, 0.55340
5437.76, 4.00,-1.0, 5.003,-0.79930,-0.81480,-0.18240, 0.21510, 0.59910, 1.15810, 1.52100, 1.61420,-1.63930,-0.46520, 0.00530, 0.17420, 0.24520, 0.00110,-0.35840, 0.53850
5480.60, 4.00,-2.0, 4.969,-0.66620,-0.79900,-0.20260, 0.18810, 0.57760, 1.12580, 1.47340, 1.57090,-1.50870,-0.47140,-0.02270, 0.15040, 0.22470,-0.01870,-0.37010, 0.51490
5582.06, 4.00,-3.0, 4.889,-0.55510,-0.76090,-0.20610, 0.16940, 0.55320, 1.07930, 1.40670, 1.50300,-1.39990,-0.45430,-0.03940, 0.12710, 0.19680,-0.02900,-0.36420, 0.49050
5523.51, 4.00,-4.0, 4.935,-0.56420,-0.78730,-0.22270, 0.16140, 0.55580, 1.09460, 1.43000, 1.53000,-1.40920,-0.47970,-0.05020, 0.12640, 0.20410,-0.03890,-0.38300, 0.49150
5530.74, 4.50, 0.0, 4.929,-1.02080,-0.81610,-0.13430, 0.28030, 0.64200, 1.16930, 1.49320, 1.58920,-1.86610,-0.44100, 0.07450, 0.22450, 0.27660, 0.04830,-0.32010, 0.58560
5554.75, 4.50, 0.5, 4.910,-1.21550,-0.83210,-0.11950, 0.31850, 0.67280, 1.18760, 1.48520, 1.58870,-2.07540,-0.44380, 0.11290, 0.25850, 0.30220, 0.07240,-0.30890, 0.61840
5457.22, 4.50,-0.5, 4.987,-0.91310,-0.82770,-0.16420, 0.24350, 0.62030, 1.17060, 1.52390, 1.61650,-1.75180,-0.46190, 0.03480, 0.19810, 0.26280, 0.02050,-0.34640, 0.56130
5506.04, 4.50,-1.0, 4.949,-0.75260,-0.79550,-0.17240, 0.21990, 0.59470, 1.13760, 1.48950, 1.58030,-1.58720,-0.44910, 0.01220, 0.17280, 0.23600, 0.00660,-0.34520, 0.53540
5462.38, 4.50,-2.0, 4.983,-0.67600,-0.82030,-0.20600, 0.19180, 0.58460, 1.13500, 1.48320, 1.58370,-1.51290,-0.48530,-0.02000, 0.15690, 0.23250,-0.01870,-0.37670, 0.52150
5517.41, 4.50,-3.0, 4.940,-0.58380,-0.80280,-0.21510, 0.17620, 0.57180, 1.10550, 1.43390, 1.53740,-1.42380,-0.48440,-0.03610, 0.14290, 0.21930,-0.02900,-0.38030, 0.50750
5531.84, 4.50,-4.0, 4.928,-0.54970,-0.80040,-0.22400, 0.16470, 0.56120, 1.09390, 1.42120, 1.52480,-1.39030,-0.48890,-0.04770, 0.13160, 0.20920,-0.03820,-0.38650, 0.49650
5509.50, 5.00, 0.0, 4.946,-1.08990,-0.84050,-0.14030, 0.28640, 0.64890, 1.18130, 1.51060, 1.60770,-1.93310,-0.45760, 0.08000, 0.23180, 0.28430, 0.04880,-0.32750, 0.59300
5550.69, 5.00, 0.5, 4.913,-1.27800,-0.84870,-0.12150, 0.32560, 0.67680, 1.19420, 1.49360, 1.59840,-2.13540,-0.45410, 0.12060, 0.26370, 0.30590, 0.07460,-0.31120, 0.62360
5528.91, 5.00,-1.0, 4.931,-0.75360,-0.79470,-0.16850, 0.22590, 0.59690, 1.13360, 1.48250, 1.57240,-1.58430,-0.44640, 0.01900, 0.17650, 0.23610, 0.01080,-0.34060, 0.53820
5463.42, 5.00,-2.0, 4.982,-0.68880,-0.82760,-0.20200, 0.19950, 0.59230, 1.13890, 1.48120, 1.58480,-1.52290,-0.48740,-0.01270, 0.16520, 0.23950,-0.01350,-0.37490, 0.52920
5468.24, 5.00,-3.0, 4.978,-0.62010,-0.83010,-0.21800, 0.18420, 0.58830, 1.12600, 1.45040, 1.56140,-1.45890,-0.50250,-0.03070, 0.15760, 0.23840,-0.02570,-0.38900, 0.52280
5474.24, 5.00,-4.0, 4.974,-0.58920,-0.83070,-0.22720, 0.17450, 0.58120, 1.11790, 1.43980, 1.55230,-1.42960,-0.50960,-0.04100, 0.14930, 0.23230,-0.03390,-0.39620, 0.51500
5787.92, 4.44, 0.0, 4.732,-0.78450,-0.69460,-0.08850, 0.28170, 0.61220, 1.08170, 1.35950, 1.44730,-1.62860,-0.34790, 0.08430, 0.20330, 0.23130, 0.06660,-0.25960, 0.55930
5824.45, 4.44, 0.5, 4.705,-0.95150,-0.69700,-0.06460, 0.32440, 0.64470, 1.09800, 1.34930, 1.44350,-1.80570,-0.33820, 0.12800, 0.23980, 0.25710, 0.09610,-0.23970, 0.59420
5718.03, 4.44,-0.5, 4.785,-0.69890,-0.70920,-0.11910, 0.24620, 0.59040, 1.08200, 1.38680, 1.47140,-1.53790,-0.37120, 0.04620, 0.17730, 0.21680, 0.03870,-0.28650, 0.53520
5765.80, 4.44,-1.0, 4.748,-0.58150,-0.69110,-0.13560, 0.21880, 0.56260, 1.04910, 1.35270, 1.43610,-1.41840,-0.37060, 0.01940, 0.14930, 0.18870, 0.01960,-0.29400, 0.50690
5787.32, 4.44,-2.0, 4.732,-0.48830,-0.69910,-0.16960, 0.18280, 0.53630, 1.02020, 1.31860, 1.40570,-1.32680,-0.39640,-0.01850, 0.11930, 0.16560,-0.01080,-0.32100, 0.47790
5784.22, 4.44,-3.0, 4.735,-0.44810,-0.70850,-0.18920, 0.16320, 0.52400, 1.00940, 1.30620, 1.39610,-1.28770,-0.41440,-0.03960, 0.10440, 0.15600,-0.02780,-0.33820, 0.46410
5806.41, 4.44,-4.0, 4.718,-0.42430,-0.70840,-0.19780, 0.15190, 0.51230, 0.99560, 1.29050, 1.38030,-1.26420,-0.41940,-0.05080, 0.09250, 0.14430,-0.03730,-0.34470, 0.45220
6025.18, 3.50, 0.0, 4.557,-0.65120,-0.57750,-0.04410, 0.28120, 0.58140, 1.00060, 1.22820, 1.31580,-1.51480,-0.25890, 0.09210, 0.18060, 0.18840, 0.08460,-0.20280, 0.53280
5988.06, 3.50,-0.5, 4.584,-0.57750,-0.58350,-0.07320, 0.24900, 0.55910, 0.99250, 1.23880, 1.32330,-1.43830,-0.27770, 0.05810, 0.15520, 0.17090, 0.05920,-0.22540, 0.50860
5907.99, 3.50,-1.0, 4.643,-0.54850,-0.61340,-0.10640, 0.22340, 0.54840, 1.00290, 1.27030, 1.35510,-1.40580,-0.31300, 0.02910, 0.14000, 0.16690, 0.03450,-0.25650, 0.49540
5961.94, 3.50,-2.0, 4.603,-0.46090,-0.60220,-0.13650, 0.18370, 0.51050, 0.96200, 1.23060, 1.31350,-1.32050,-0.32360,-0.01030, 0.10040, 0.13010, 0.00410,-0.27540, 0.45620
5965.56, 3.50,-3.0, 4.601,-0.43190,-0.60880,-0.15100, 0.16700, 0.49750, 0.95080, 1.21940, 1.30400,-1.29060,-0.33570,-0.02760, 0.08580, 0.11870,-0.01000,-0.28800, 0.44230
5971.49, 3.50,-4.0, 4.596,-0.41640,-0.61290,-0.16090, 0.15610, 0.48770, 0.94320, 1.21470, 1.29850,-1.27470,-0.34340,-0.03860, 0.07550, 0.10960,-0.01950,-0.29620, 0.43230
6014.61, 4.00, 0.0, 4.565,-0.63510,-0.58990,-0.05210, 0.27640, 0.57840, 1.00220, 1.23980, 1.32370,-1.48810,-0.26890, 0.08670, 0.17710, 0.18510, 0.07870,-0.21020, 0.52910
6038.71, 4.00,-0.5, 4.548,-0.52650,-0.58300,-0.07750, 0.24160, 0.54800, 0.97380, 1.21950, 1.29990,-1.37710,-0.27850, 0.05150, 0.14520, 0.15670, 0.05300,-0.22700, 0.49760
5958.44, 4.00,-1.0, 4.606,-0.49750,-0.61480,-0.11210, 0.21450, 0.53610, 0.98300, 1.24910, 1.33020,-1.34490,-0.31560, 0.02090, 0.12870, 0.15190, 0.02690,-0.25960, 0.48310
5954.96, 4.00,-2.0, 4.608,-0.43750,-0.63070,-0.14980, 0.17680, 0.50850, 0.96150, 1.23400, 1.31640,-1.28550,-0.34630,-0.01860, 0.09720, 0.12860,-0.00600,-0.29090, 0.45310
6032.46, 4.00,-3.0, 4.552,-0.38350,-0.61880,-0.16300, 0.15260, 0.47990, 0.92310, 1.18800, 1.26910,-1.23210,-0.34640,-0.04130, 0.06930, 0.09810,-0.02370,-0.29780, 0.42470
6023.76, 4.00,-4.0, 4.558,-0.37830,-0.62430,-0.17300, 0.14000, 0.46860, 0.91710, 1.18740, 1.26780,-1.22630,-0.35410,-0.05410, 0.05720, 0.08810,-0.03440,-0.30700, 0.41290
6020.75, 4.50, 0.0, 4.561,-0.62240,-0.60530,-0.05810, 0.27690, 0.58070, 1.00290, 1.24360, 1.32550,-1.46690,-0.28070, 0.08660, 0.17920, 0.18680, 0.07610,-0.21670, 0.53100
5938.44, 4.50, 0.5, 4.620,-0.84350,-0.64830,-0.04780, 0.32120, 0.62900, 1.05840, 1.29200, 1.38240,-1.69580,-0.30130, 0.12840, 0.22750, 0.23520, 0.10120,-0.21670, 0.57990
5968.38, 4.50,-0.5, 4.598,-0.54580,-0.61870,-0.08980, 0.24110, 0.55630, 0.99720, 1.26070, 1.33920,-1.38610,-0.30410, 0.04870, 0.15120, 0.16850, 0.04730,-0.24340, 0.50460
5961.60, 4.50,-1.0, 4.603,-0.48430,-0.62810,-0.11610, 0.21340, 0.53520, 0.98260, 1.25350, 1.33230,-1.32270,-0.32400, 0.01960, 0.12800, 0.15040, 0.02390,-0.26450, 0.48210
6064.09, 4.50,-2.0, 4.529,-0.37850,-0.62070,-0.15140, 0.16540, 0.48750, 0.92170, 1.18240, 1.26070,-1.21880,-0.33990,-0.02760, 0.07910, 0.10230,-0.01400,-0.28860, 0.43310
6024.94, 4.50,-3.0, 4.557,-0.36240,-0.64300,-0.17340, 0.14780, 0.47970, 0.92350, 1.19060, 1.27150,-1.20220,-0.36560,-0.04740, 0.06810, 0.09880,-0.03140,-0.31050, 0.42350
6037.83, 4.50,-4.0, 4.548,-0.34920,-0.64840,-0.18370, 0.13650, 0.46920, 0.91320, 1.18030, 1.26130,-1.18910,-0.37440,-0.05880, 0.05710, 0.08880,-0.04160,-0.31940, 0.41280
6432.73, 4.00, 0.0, 4.273,-0.44620,-0.45690,-0.01340, 0.26040, 0.51590, 0.86370, 1.03890, 1.11640,-1.30920,-0.17170, 0.08240, 0.12760, 0.10220, 0.08700,-0.15010, 0.47320
6455.69, 4.00,-0.5, 4.258,-0.39190,-0.46130,-0.04240, 0.22580, 0.48510, 0.83560, 1.01710, 1.09260,-1.25390,-0.18890, 0.04730, 0.09550, 0.07330, 0.05920,-0.17200, 0.44140
6413.03, 4.00,-1.0, 4.286,-0.36430,-0.48480,-0.07670, 0.19490, 0.46490, 0.83130, 1.03060, 1.10340,-1.22350,-0.21990, 0.01440, 0.07170, 0.05800, 0.03080,-0.20200, 0.41910
6419.24, 4.00,-2.0, 4.282,-0.32650,-0.50660,-0.11630, 0.15370, 0.43180, 0.80570, 1.01380, 1.08600,-1.18510,-0.25300,-0.02810, 0.03530, 0.02860,-0.00560,-0.23610, 0.38400
6470.07, 4.00,-3.0, 4.248,-0.30140,-0.51070,-0.13440, 0.12860, 0.40500, 0.77640, 0.98300, 1.05410,-1.15920,-0.26380,-0.05250, 0.00860, 0.00150,-0.02610,-0.25050, 0.35720
6491.09, 4.00,-4.0, 4.234,-0.29550,-0.51950,-0.14770, 0.11380, 0.38990, 0.76180, 0.96910, 1.04010,-1.15280,-0.27510,-0.06720,-0.00660,-0.01350,-0.03980,-0.26240, 0.34210
6491.63, 4.50, 0.0, 4.234,-0.40280,-0.45840,-0.01840, 0.25180, 0.50340, 0.84300, 1.01850, 1.09080,-1.25470,-0.17330, 0.07470, 0.11630, 0.08580, 0.07990,-0.15270, 0.46050
6503.68, 4.50,-0.5, 4.225,-0.34200,-0.47480,-0.05660, 0.21110, 0.47040, 0.81610, 1.00130, 1.07120,-1.19170,-0.20250, 0.03260, 0.08080, 0.05620, 0.04510,-0.18400, 0.42590
6435.89, 4.50,-1.0, 4.271,-0.32460,-0.50900,-0.09030, 0.18460, 0.45760, 0.82040, 1.02180, 1.09230,-1.17110,-0.24010, 0.00320, 0.06380, 0.04950, 0.01840,-0.21670, 0.41060
6500.28, 4.50,-2.0, 4.228,-0.28230,-0.52190,-0.13210, 0.13260, 0.40680, 0.77100, 0.97710, 1.04490,-1.12910,-0.26750,-0.04840, 0.01150, 0.00010,-0.02500,-0.25060, 0.35880
6499.46, 4.50,-3.0, 4.228,-0.26620,-0.54150,-0.15330, 0.11380, 0.39330, 0.76150, 0.97070, 1.03950,-1.11160,-0.29040,-0.06830,-0.00380,-0.01110,-0.04360,-0.27080, 0.34440
6507.77, 4.50,-4.0, 4.223,-0.26320,-0.55210,-0.16540, 0.10200, 0.38280, 0.75240, 0.96260, 1.03170,-1.10820,-0.30260,-0.08030,-0.01480,-0.02100,-0.05520,-0.28230, 0.33360
6907.57, 4.50, 0.0, 3.964,-0.29660,-0.36800,-0.00300, 0.22060, 0.43030, 0.70520, 0.82860, 0.89670,-1.15810,-0.11040, 0.05350, 0.05490,-0.00540, 0.07110,-0.11930, 0.39350
6986.84, 4.50,-0.5, 3.914,-0.26030,-0.37800,-0.03960, 0.17480, 0.38420, 0.65680, 0.78140, 0.84700,-1.12200,-0.13320, 0.00820, 0.00850,-0.05110, 0.03340,-0.14820, 0.34710
7000.57, 4.50,-3.0, 3.906,-0.23350,-0.45660,-0.13960, 0.07470, 0.30170, 0.59740, 0.74610, 0.80810,-1.08970,-0.22660,-0.09490,-0.08060,-0.12520,-0.05990,-0.24050, 0.26070

